1241667271	20240503	202405	2024	2024.3370	ELI	ACTOR						ELI			GBR	LONDON	GBR								1	042	042	04	1	1.9	10	1	10	1.72413793103448	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250503233000	https://home.nzcity.co.nz/news/article.aspx?id=421469&fm=psp,tst
1241667272	20240503	202405	2024	2024.3370	JPN	JAPAN	JPN								USAGOV	THE WHITE HOUSE	USA					GOV			0	010	010	01	1	0.0	1	1	1	-2.52260828177058	1	Japan	JA	JA		36	138	JA	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	Japan	JA	JA		36	138	JA	20250503233000	https://freerepublic.com/tag/*/index?more=4314887
1241667273	20240503	202405	2024	2024.3370	JPN	JAPAN	JPN								USAGOV	THE WHITE HOUSE	USA					GOV			0	010	010	01	1	0.0	1	1	1	-2.52260828177058	1	Ukraine	UP	UP		49	32	UP	4	Brighton, Brighton and Hove, United Kingdom	UK	UKB6	40137	50.8333	-0.15	-2590884	1	Ukraine	UP	UP		49	32	UP	20250503233000	https://freerepublic.com/tag/*/index?more=4314887
1241667274	20240503	202405	2024	2024.3370	USA	UNITED STATES	USA								MED	JOURNALIST						MED			1	190	190	19	4	-10.0	8	1	8	2.05479452054795	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250503233000	https://www.yahoo.com/news/youngstown-press-club-observes-world-210409692.html
1241667275	20240503	202405	2024	2024.3370	USA	AMERICAN	USA								USABUS	UNITED STATES	USA					BUS			1	010	010	01	1	0.0	2	1	2	0	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250503233000	https://www.wsoctv.com/news/local/psa-airlines-shores-up-hiring-plans-new-charlotte-hq/54QESMXWOFHVTAEZ3WPG7TOW6M/
1241667276	20240503	202405	2024	2024.3370	USA	AMERICAN	USA								USABUS	UNITED STATES	USA					BUS			1	042	042	04	1	1.9	2	1	2	0	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250503233000	https://www.wsoctv.com/news/local/psa-airlines-shores-up-hiring-plans-new-charlotte-hq/54QESMXWOFHVTAEZ3WPG7TOW6M/
1241667277	20240503	202405	2024	2024.3370	USA	CHARLOTTE	USA								USABUS	AMERICAN	USA					BUS			1	043	043	04	1	2.8	3	1	3	0	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250503233000	https://www.wsoctv.com/news/local/psa-airlines-shores-up-hiring-plans-new-charlotte-hq/54QESMXWOFHVTAEZ3WPG7TOW6M/
1241667278	20240503	202405	2024	2024.3370	USABUS	AMERICAN	USA					BUS			USA	CHARLOTTE	USA								1	010	010	01	1	0.0	3	1	3	0	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250503233000	https://www.wsoctv.com/news/local/psa-airlines-shores-up-hiring-plans-new-charlotte-hq/54QESMXWOFHVTAEZ3WPG7TOW6M/
1241667279	20240503	202405	2024	2024.3370	USABUS	AMERICAN	USA					BUS			USA	CHARLOTTE	USA								1	042	042	04	1	1.9	3	1	3	0	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250503233000	https://www.wsoctv.com/news/local/psa-airlines-shores-up-hiring-plans-new-charlotte-hq/54QESMXWOFHVTAEZ3WPG7TOW6M/
1241667280	20240503	202405	2024	2024.3370	USABUS	UNITED STATES	USA					BUS			USA	AMERICAN	USA								1	043	043	04	1	2.8	2	1	2	0	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250503233000	https://www.wsoctv.com/news/local/psa-airlines-shores-up-hiring-plans-new-charlotte-hq/54QESMXWOFHVTAEZ3WPG7TOW6M/
