1243060825	20240511	202405	2024	2024.3589	CHN	CHINA	CHN																		1	061	061	06	2	6.4	1	1	1	0.847457627118644	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20250511000000	https://www.thehindu.com/news/international/brazil-president-lula-da-silva-to-visit-china-ahead-of-regional-summit/article69562389.ece
1243060826	20240511	202405	2024	2024.3589	CHN	CHINA	CHN								IGOUNO	UNITED NATIONS		UNO				IGO			1	061	061	06	2	6.4	4	1	4	0.847457627118644	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	United States	US	US		39.828175	-98.5795	US	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250511000000	https://www.thehindu.com/news/international/brazil-president-lula-da-silva-to-visit-china-ahead-of-regional-summit/article69562389.ece
1243060827	20240511	202405	2024	2024.3589	CHN	CHINA	CHN								IGOUNO	UNITED NATIONS		UNO				IGO			1	061	061	06	2	6.4	1	1	1	0.847457627118644	1	United States	US	US		39.828175	-98.5795	US	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	United States	US	US		39.828175	-98.5795	US	20250511000000	https://www.thehindu.com/news/international/brazil-president-lula-da-silva-to-visit-china-ahead-of-regional-summit/article69562389.ece
1243060828	20240511	202405	2024	2024.3589	COPGOV	POLICE						COP	GOV												1	020	020	02	1	3.0	5	1	5	-5.67567567567567	4	Rotorua, New Zealand (general), New Zealand	NZ	NZ00	22389	-37.9	176.217	-1515453	0								4	Rotorua, New Zealand (general), New Zealand	NZ	NZ00	22389	-37.9	176.217	-1515453	20250511000000	https://www.nzherald.co.nz/rotorua-daily-post/news/boy-racers-crackdown-swift-destruction-of-vehicles-under-proposed-legislation-new-powers-for-police/RPN4MERT3NGVBFWZ7LDNWY77NM/
1243060829	20240511	202405	2024	2024.3589	COPGOV	POLICE						COP	GOV		COP	POLICE						COP			1	130	130	13	3	-4.4	5	1	5	-5.67567567567567	4	Rotorua, New Zealand (general), New Zealand	NZ	NZ00	22389	-37.9	176.217	-1515453	4	Rotorua, New Zealand (general), New Zealand	NZ	NZ00	22389	-37.9	176.217	-1515453	4	Rotorua, New Zealand (general), New Zealand	NZ	NZ00	22389	-37.9	176.217	-1515453	20250511000000	https://www.nzherald.co.nz/rotorua-daily-post/news/boy-racers-crackdown-swift-destruction-of-vehicles-under-proposed-legislation-new-powers-for-police/RPN4MERT3NGVBFWZ7LDNWY77NM/
1243060830	20240511	202405	2024	2024.3589	GOV	KINGDOM						GOV			JORMED	JORDAN	JOR					MED			1	061	061	06	2	6.4	5	1	5	-0.35460992907802	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20250511000000	http://jordantimes.com/news/business/jordans-exports-gafta-countries-rise-122-end-february
1243060831	20240511	202405	2024	2024.3589	HLH	DOCTOR						HLH													1	052	052	05	1	3.5	10	1	10	-15.1785714285715	0								0								0								20250511000000	https://www.wcjb.com/2025/05/10/man-gets-mental-health-check-up-jail-after-homicide-kidnapping-charges-dropped-without-prejudice/
1243060832	20240511	202405	2024	2024.3589	NZL	NEW ZEALAND	NZL																		0	013	013	01	1	0.4	3	1	3	-5.67567567567567	4	Rotorua, New Zealand (general), New Zealand	NZ	NZ00	22389	-37.9	176.217	-1515453	0								4	Rotorua, New Zealand (general), New Zealand	NZ	NZ00	22389	-37.9	176.217	-1515453	20250511000000	https://www.nzherald.co.nz/rotorua-daily-post/news/boy-racers-crackdown-swift-destruction-of-vehicles-under-proposed-legislation-new-powers-for-police/RPN4MERT3NGVBFWZ7LDNWY77NM/
1243060833	20240511	202405	2024	2024.3589	PHL	PHILIPPINE	PHL																		0	190	190	19	4	-10.0	4	1	4	-2.50403877221324	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	0								4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	20250511000000	https://home.nzcity.co.nz/news/article.aspx?id=422084
1243060834	20250411	202504	2025	2025.2767	CVL	TOURIST						CVL			PAK	PAKISTAN	PAK								0	112	112	11	3	-2.0	1	1	1	-5.78512396694215	5	Kashmir, Jammu and Kashmir, India	IN	IN12	72809	33.9167	76.6667	-2098229	5	Kashmir, Jammu and Kashmir, India	IN	IN12	72809	33.9167	76.6667	-2098229	5	Kashmir, Jammu and Kashmir, India	IN	IN12	72809	33.9167	76.6667	-2098229	20250511000000	https://www.rte.ie/news/world/2025/0511/1512209-india-pakistan/
