1241996414	20240506	202405	2024	2024.3452											EDU	STUDENT						EDU			0	111	111	11	3	-2.0	10	1	10	-2.35910878112713	0								3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	20250506020000	https://www.houstonpublicmedia.org/articles/education/2025/05/05/520594/katy-isd-voters-oust-conservative-board-president-as-newly-elected-trustee-aims-to-eliminate-politicization/
1241996415	20240506	202405	2024	2024.3452											THA	THAI	THA								1	060	060	06	2	6.0	2	1	2	-1.41732283464567	0								4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20250506020000	https://www.chinadaily.com.cn/a/202505/06/WS68194147a310a04af22bd898.html
1241996416	20240506	202405	2024	2024.3452	CHN	CHINA	CHN								DEU	GERMANY	DEU								1	042	042	04	1	1.9	1	1	1	2.89308176100629	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	20250506020000	http://en.people.cn/n3/2025/0506/c90000-20310512.html
1241996417	20240506	202405	2024	2024.3452	CHN	CHINA	CHN								DEU	GERMANY	DEU								1	042	042	04	1	1.9	4	1	4	2.89308176100629	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	1	Germany	GM	GM		51.5	10.5	GM	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	20250506020000	http://en.people.cn/n3/2025/0506/c90000-20310512.html
1241996418	20240506	202405	2024	2024.3452	CVLCVL	ENGINEER						CVL	CVL												1	014	014	01	1	0.0	2	1	2	3.25732899022802	1	Australia	AS	AS		-25	135	AS	0								1	Australia	AS	AS		-25	135	AS	20250506020000	https://www.reseller.co.nz/article/3977789/barracuda-networks-nets-dan-mclean-as-a-nz-country-lead-2.html
1241996419	20240506	202405	2024	2024.3452	CVLCVL	ENGINEER						CVL	CVL												1	014	014	01	1	0.0	3	1	3	3.25732899022802	1	New Zealand	NZ	NZ		-42	174	NZ	0								1	New Zealand	NZ	NZ		-42	174	NZ	20250506020000	https://www.reseller.co.nz/article/3977789/barracuda-networks-nets-dan-mclean-as-a-nz-country-lead-2.html
1241996420	20240506	202405	2024	2024.3452	DEU	GERMANY	DEU								CHN	CHINA	CHN								1	043	043	04	1	2.8	1	1	1	2.89308176100629	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	20250506020000	http://en.people.cn/n3/2025/0506/c90000-20310512.html
1241996421	20240506	202405	2024	2024.3452	DEU	GERMANY	DEU								CHN	CHINA	CHN								1	043	043	04	1	2.8	4	1	4	2.89308176100629	1	Germany	GM	GM		51.5	10.5	GM	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	20250506020000	http://en.people.cn/n3/2025/0506/c90000-20310512.html
1241996422	20240506	202405	2024	2024.3452	IDN	INDONESIA	IDN								THA	THAI	THA								1	060	060	06	2	6.0	3	1	3	-1.41732283464567	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20250506020000	https://www.chinadaily.com.cn/a/202505/06/WS68194147a310a04af22bd898.html
1241996423	20240506	202405	2024	2024.3452	IRQ	IRAQ	IRQ								THA	THAILAND	THA								1	060	060	06	2	6.0	1	1	1	-1.41732283464567	1	Indonesia	ID	ID		-5	120	ID	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20250506020000	https://www.chinadaily.com.cn/a/202505/06/WS68194147a310a04af22bd898.html
1241996424	20240506	202405	2024	2024.3452	IRQ	IRAQ	IRQ								THA	THAI	THA								1	060	060	06	2	6.0	2	1	2	-1.41732283464567	1	Iraq	IZ	IZ		33	44	IZ	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20250506020000	https://www.chinadaily.com.cn/a/202505/06/WS68194147a310a04af22bd898.html
1241996425	20250406	202504	2025	2025.2630	EUR	EUROPEAN	EUR								GOV	GOVERNANCE						GOV			1	020	020	02	1	3.0	5	1	5	3.87596899224806	1	Netherlands	NL	NL		52.5	5.75	NL	1	Netherlands	NL	NL		52.5	5.75	NL	1	Netherlands	NL	NL		52.5	5.75	NL	20250506020000	https://www.advanced-television.com/2025/05/06/fallacher-replaces-berneke-at-eutelsat/
1241996426	20250406	202504	2025	2025.2630	USA	NEW YORK	USA								CVL	NEIGHBORHOOD						CVL			0	084	084	08	2	7.0	3	1	3	-3.84138785625774	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250506020000	https://us.cnn.com/2025/05/05/health/states-sue-trump-administration-hhs-rfk
1241996427	20250406	202504	2025	2025.2630	USA	NEW YORK	USA								CVLCVL	NEIGHBORHOOD						CVL	CVL		0	084	084	08	2	7.0	2	1	2	-3.84138785625774	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250506020000	https://us.cnn.com/2025/05/05/health/states-sue-trump-administration-hhs-rfk
1241996428	20250429	202504	2025	2025.3260											CANGOV	CANADA	CAN					GOV			1	141	141	14	3	-6.5	2	1	2	-2.81690140845071	0								3	Smithsonian Institution, District of Columbia, United States	US	USDC		38.8887	-77.0258	531840	3	Smithsonian Institution, District of Columbia, United States	US	USDC		38.8887	-77.0258	531840	20250506020000	https://www.winchesterstar.com/winchester_star/clarke-county-democrats-hold-latest-area-hands-off-democracy-rally/article_83fc5ac0-e6e1-562d-98fa-67dfe929c180.html
1241996429	20250429	202504	2025	2025.3260											GOV	PRESIDENT						GOV			1	141	141	14	3	-6.5	6	1	6	-2.81690140845071	0								3	Smithsonian Institution, District of Columbia, United States	US	USDC		38.8887	-77.0258	531840	3	Smithsonian Institution, District of Columbia, United States	US	USDC		38.8887	-77.0258	531840	20250506020000	https://www.winchesterstar.com/winchester_star/clarke-county-democrats-hold-latest-area-hands-off-democracy-rally/article_83fc5ac0-e6e1-562d-98fa-67dfe929c180.html
1241996430	20250429	202504	2025	2025.3260											MED	CORRESPONDENT						MED			0	110	110	11	3	-2.0	70	7	70	-2.20053843749868	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996431	20250429	202504	2025	2025.3260	CAN	CANADA	CAN								GOV	PRESIDENT						GOV			1	141	141	14	3	-6.5	2	1	2	-2.81690140845071	3	Smithsonian Institution, District of Columbia, United States	US	USDC	DC001	38.8887	-77.0258	531840	3	Smithsonian Institution, District of Columbia, United States	US	USDC		38.8887	-77.0258	531840	3	Smithsonian Institution, District of Columbia, United States	US	USDC		38.8887	-77.0258	531840	20250506020000	https://www.winchesterstar.com/winchester_star/clarke-county-democrats-hold-latest-area-hands-off-democracy-rally/article_83fc5ac0-e6e1-562d-98fa-67dfe929c180.html
1241996432	20250429	202504	2025	2025.3260	USA	UNITED STATES	USA																		1	051	051	05	1	3.4	8	1	8	-0.49751243781094	3	Montgomery County, Ohio, United States	US	USOH	OH113	39.7503	-84.2999	1074069	0								3	Montgomery County, Ohio, United States	US	USOH		39.7503	-84.2999	1074069	20250506020000	https://www.yahoo.com/news/election-officials-share-early-voting-002757901.html
1241996433	20250429	202504	2025	2025.3260	USAGOV	THE US	USA					GOV			USAREL	NEW YORK	USA								1	020	020	02	1	3.0	8	1	8	-0.5050505050505	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250506020000	https://indianexpress.com/article/world/trump-defends-ai-generated-pope-image-catholics-loved-it-9984870/
1241996434	20250429	202504	2025	2025.3260	USAREL	NEW YORK	USA								USAGOV	THE US	USA					GOV			1	012	012	01	1	-0.4	8	1	8	-0.5050505050505	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250506020000	https://indianexpress.com/article/world/trump-defends-ai-generated-pope-image-catholics-loved-it-9984870/
1241996435	20250505	202505	2025	2025.3425	AUSLEG	AUSTRALIA	AUS					LEG													0	020	020	02	1	3.0	8	4	8	-2.19864402058214	4	Gippsland, Victoria, Australia	AS	AS07	5424	-38	147.5	-1575162	0								4	Gippsland, Victoria, Australia	AS	AS07	5424	-38	147.5	-1575162	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996436	20250505	202505	2025	2025.3425	AUSLEG	AUSTRALIA	AUS					LEG													0	020	020	02	1	3.0	2	1	2	-2.19575735020469	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	0								4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	20250506020000	https://www.mandurahmail.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996437	20250505	202505	2025	2025.3425	AUSLEG	AUSTRALIA	AUS					LEG													0	020	020	02	1	3.0	2	1	2	-2.19941348973607	4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	0								4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	20250506020000	https://www.batemansbaypost.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996438	20250505	202505	2025	2025.3425	AUSLEG	AUSTRALIA	AUS					LEG													0	020	020	02	1	3.0	2	1	2	-2.21402214022141	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.naroomanewsonline.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
