1242902683	20240510	202405	2024	2024.3562											SDN	SUDAN	SDN								0	193	193	19	4	-10.0	2	1	2	-5.22993688007214	0								4	El Fasher, Shamal Darfur, Sudan	SU	SU55	37080	13.6333	25.35	-1684	4	El Fasher, Shamal Darfur, Sudan	SU	SU55	37080	13.6333	25.35	-1684	20250510000000	https://www.wlrn.org/npr-breaking-news/2025-05-06/port-sudan-was-safe-during-the-war-now-its-been-attacked-by-a-group-linked-to-uae
1242902684	20240510	202405	2024	2024.3562	CVL	COMMUNITY						CVL													1	051	051	05	1	3.4	5	1	5	3.02114803625377	4	Columbia River, Canada (general), Canada	CA	CA00	31654	46.25	-124	-562880	0								4	Columbia River, Canada (general), Canada	CA	CA00	31654	46.25	-124	-562880	20250510000000	https://www.terracestandard.com/news/adult-salmon-makes-historic-swim-into-upper-columbia-river-system-7999380
1242902685	20240510	202405	2024	2024.3562	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								0	173	173	17	4	-5.0	1	1	1	-6.35727908455182	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20250510000000	https://www.fox6now.com/news/madison-school-shooting-father-teen-shooter-charged-court
1242902686	20240510	202405	2024	2024.3562	EDU	SCHOOL						EDU			USA	MICHIGAN	USA								0	193	193	19	4	-10.0	7	1	7	-6.35727908455182	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20250510000000	https://www.fox6now.com/news/madison-school-shooting-father-teen-shooter-charged-court
1242902687	20240510	202405	2024	2024.3562	EDU	SCHOOL						EDU			USA	MICHIGAN	USA								0	193	193	19	4	-10.0	1	1	1	-6.35727908455182	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20250510000000	https://www.fox6now.com/news/madison-school-shooting-father-teen-shooter-charged-court
1242902688	20240510	202405	2024	2024.3562	GBR	LONDON	GBR																		1	190	190	19	4	-10.0	10	1	10	-11.5009746588694	4	Southport, Sefton, United Kingdom	UK	UKL8	40121	53.6667	-3	-2608309	0								4	Southport, Sefton, United Kingdom	UK	UKL8	40121	53.6667	-3	-2608309	20250510000000	https://www.dailystar.co.uk/news/latest-news/southport-killer-axel-rudakubana-threw-35202627
1242902689	20240510	202405	2024	2024.3562	JUD	PROSECUTOR						JUD													0	081	081	08	2	5.0	15	3	15	-4.90627195905121	1	Poland	PL	PL		52	20	PL	0								1	Poland	PL	PL		52	20	PL	20250510000000	https://www.redlandcitybulletin.com.au/story/8963252/lawyers-grill-harvey-weinsteins-ex-model-accuser/
1242902690	20240510	202405	2024	2024.3562	JUD	ATTORNEY						JUD													1	110	110	11	3	-2.0	6	1	6	-6.59025787965616	1	Poland	PL	PL		52	20	PL	0								1	Poland	PL	PL		52	20	PL	20250510000000	https://www.yahoo.com/news/weinstein-lawyer-says-ex-model-232534702.html
1242902691	20240510	202405	2024	2024.3562	JUD	PROSECUTOR						JUD													0	173	173	17	4	-5.0	15	3	15	-4.90627195905121	1	Poland	PL	PL		52	20	PL	0								1	Poland	PL	PL		52	20	PL	20250510000000	https://www.redlandcitybulletin.com.au/story/8963252/lawyers-grill-harvey-weinsteins-ex-model-accuser/
1242902692	20240510	202405	2024	2024.3562	JUD	ATTORNEY						JUD													1	180	180	18	4	-9.0	3	1	3	-6.59025787965616	1	Poland	PL	PL		52	20	PL	0								1	Poland	PL	PL		52	20	PL	20250510000000	https://www.yahoo.com/news/weinstein-lawyer-says-ex-model-232534702.html
1242902693	20240510	202405	2024	2024.3562	JUD	PROSECUTOR						JUD			USA	UNITED STATES	USA								0	081	081	08	2	5.0	7	3	7	-4.73335861898436	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250510000000	https://www.whio.com/entertainment/defense-questions-ex/QRSUJHTQKZCTVEJ52EHTCAVH6Q/
1242902694	20240510	202405	2024	2024.3562	JUD	PROSECUTOR						JUD			USA	UNITED STATES	USA								0	081	081	08	2	5.0	4	2	4	-5.05757113160971	1	Poland	PL	PL		52	20	PL	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250510000000	https://www.redlandcitybulletin.com.au/story/8963252/lawyers-grill-harvey-weinsteins-ex-model-accuser/
1242902695	20240510	202405	2024	2024.3562	JUD	PROSECUTOR						JUD			USA	UNITED STATES	USA								0	173	173	17	4	-5.0	4	2	4	-5.05757113160971	1	Poland	PL	PL		52	20	PL	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250510000000	https://www.redlandcitybulletin.com.au/story/8963252/lawyers-grill-harvey-weinsteins-ex-model-accuser/
1242902696	20240510	202405	2024	2024.3562	USA	UNITED STATES	USA								EDU	STUDENT						EDU			0	173	173	17	4	-5.0	1	1	1	-6.35727908455182	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20250510000000	https://www.fox6now.com/news/madison-school-shooting-father-teen-shooter-charged-court
1242902697	20240510	202405	2024	2024.3562	USA	UNITED STATES	USA								EDU	STUDENT						EDU			0	173	173	17	4	-5.0	1	1	1	-6.35727908455182	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20250510000000	https://www.fox6now.com/news/madison-school-shooting-father-teen-shooter-charged-court
1242902698	20250410	202504	2025	2025.2740	CHN	CHINA	CHN																		0	061	061	06	2	6.4	3	1	3	-2.00296735905045	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250510000000	https://foreignpolicy.com/2025/05/09/china-us-trade-tariff-talks-trump-bessent-greer-russia-victory-day-ukraine/
1242902699	20250410	202504	2025	2025.2740	CHN	CHINESE	CHN																		0	061	061	06	2	6.4	6	1	6	-2.00296735905045	1	Peru	PE	PE		-10	-76	PE	0								1	Peru	PE	PE		-10	-76	PE	20250510000000	https://foreignpolicy.com/2025/05/09/china-us-trade-tariff-talks-trump-bessent-greer-russia-victory-day-ukraine/
1242902700	20250410	202504	2025	2025.2740	CVL	ENGINEER						CVL			SDN	PORT SUDAN	SDN								0	042	042	04	1	1.9	10	1	10	-5.22993688007214	4	Atbara, Nahr an Nil, Sudan	SU	SU53	37096	17.6925	33.9852	-3011	4	Atbara, Nahr an Nil, Sudan	SU	SU53	37096	17.6925	33.9852	-3011	4	Atbara, Nahr an Nil, Sudan	SU	SU53	37096	17.6925	33.9852	-3011	20250510000000	https://www.wlrn.org/npr-breaking-news/2025-05-06/port-sudan-was-safe-during-the-war-now-its-been-attacked-by-a-group-linked-to-uae
1242902701	20250410	202504	2025	2025.2740	JUD	APPEALS COURT						JUD			USA	NEW YORK	USA								1	173	173	17	4	-5.0	6	2	6	-4.11683187543583	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250510000000	https://hitsfm.net/national/2a7179c803fb31238a981b305f97daa6
1242902702	20250410	202504	2025	2025.2740	MIL	NAVAL						MIL													0	010	010	01	1	0.0	2	1	2	-1.53846153846154	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	0								2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20250510000000	https://japantoday.com/category/world/pentagon-directs-military-to-pull-library-books-that-address-diversity-anti-racism-gender-issues
1242902703	20250410	202504	2025	2025.2740	MIL	NAVAL						MIL													0	160	160	16	4	-4.0	2	1	2	-1.53846153846154	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	0								2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20250510000000	https://japantoday.com/category/world/pentagon-directs-military-to-pull-library-books-that-address-diversity-anti-racism-gender-issues
1242902704	20250410	202504	2025	2025.2740	MIL	COMMANDER						MIL			LEG	LAWMAKER						LEG			0	010	010	01	1	0.0	5	1	5	-1.56028368794326	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20250510000000	https://japantoday.com/category/world/exclusive-iran-to-send-russia-launchers-for-short-range-missiles-sources-say
1242902705	20250410	202504	2025	2025.2740	MIL	COMMANDER						MIL			LEG	LAWMAKER						LEG			0	013	013	01	1	0.4	5	1	5	-1.56028368794326	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20250510000000	https://japantoday.com/category/world/exclusive-iran-to-send-russia-launchers-for-short-range-missiles-sources-say
1242902706	20250410	202504	2025	2025.2740	MIL	ARMY						MIL			RUS	RUSSIA	RUS								0	070	070	07	2	7.0	3	1	3	-1.56028368794326	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20250510000000	https://japantoday.com/category/world/exclusive-iran-to-send-russia-launchers-for-short-range-missiles-sources-say
1242902707	20250410	202504	2025	2025.2740	MIL	COMMANDER						MIL			RUS	RUSSIA	RUS								0	070	070	07	2	7.0	5	1	5	-1.56028368794326	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20250510000000	https://japantoday.com/category/world/exclusive-iran-to-send-russia-launchers-for-short-range-missiles-sources-say
1242902708	20250410	202504	2025	2025.2740	MIL	COMMANDER						MIL			RUS	RUSSIA	RUS								0	070	070	07	2	7.0	2	1	2	-1.56028368794326	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20250510000000	https://japantoday.com/category/world/exclusive-iran-to-send-russia-launchers-for-short-range-missiles-sources-say
1242902709	20250410	202504	2025	2025.2740	MIL	NAVAL						MIL			USA	MARYLAND	USA								0	010	010	01	1	0.0	4	1	4	-1.53846153846154	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20250510000000	https://japantoday.com/category/world/pentagon-directs-military-to-pull-library-books-that-address-diversity-anti-racism-gender-issues
1242902710	20250410	202504	2025	2025.2740	MIL	NAVAL						MIL			USA	MARYLAND	USA								0	160	160	16	4	-4.0	8	1	8	-1.53846153846154	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20250510000000	https://japantoday.com/category/world/pentagon-directs-military-to-pull-library-books-that-address-diversity-anti-racism-gender-issues
1242902711	20250410	202504	2025	2025.2740	PAK	PAKISTAN	PAK								MOS	ISLAMIC				MOS					0	010	010	01	1	0.0	4	1	4	-6.72682526661196	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20250510000000	https://themoderatevoice.com/casus-belli-for-the-pakistan-india-war/
1242902712	20250410	202504	2025	2025.2740	SDN	PORT SUDAN	SDN								CVL	ENGINEER						CVL			0	043	043	04	1	2.8	10	1	10	-5.22993688007214	4	Atbara, Nahr an Nil, Sudan	SU	SU53	37096	17.6925	33.9852	-3011	4	Atbara, Nahr an Nil, Sudan	SU	SU53	37096	17.6925	33.9852	-3011	4	Atbara, Nahr an Nil, Sudan	SU	SU53	37096	17.6925	33.9852	-3011	20250510000000	https://www.wlrn.org/npr-breaking-news/2025-05-06/port-sudan-was-safe-during-the-war-now-its-been-attacked-by-a-group-linked-to-uae
1242902713	20250410	202504	2025	2025.2740	SPY	INTELLIGENCE CHIEF						SPY			PAK	PAKISTAN	PAK								0	010	010	01	1	0.0	3	1	3	-6.72682526661196	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20250510000000	https://themoderatevoice.com/casus-belli-for-the-pakistan-india-war/
1242902714	20250503	202505	2025	2025.3370											BUS	BUSINESS						BUS			0	042	042	04	1	1.9	2	1	2	-1.12721417069243	0								1	Canada	CA	CA		60	-96	CA	1	United States	US	US		39.828175	-98.5795	US	20250510000000	https://www.readingeagle.com/2025/05/09/expedia-international-tourism/
1242902715	20250503	202505	2025	2025.3370	AFRREF	AFRICA	AFR					REF			USA	THE US	USA								1	042	042	04	1	1.9	8	1	8	-7.98004987531172	4	Afrikaner, North-West, South Africa	SF	SF10	77350	-26.842	26.5632	-1206313	4	Afrikaner, North-West, South Africa	SF	SF10	77350	-26.842	26.5632	-1206313	4	Afrikaner, North-West, South Africa	SF	SF10	77350	-26.842	26.5632	-1206313	20250510000000	https://www.thesouthafrican.com/lifestyle/afrikaner-refugee-white-south-africans-trump-us-embassy-latest/
1242902716	20250503	202505	2025	2025.3370	ARE	UNITED ARAB EMIRATES	ARE								QAT	QATAR	QAT								0	042	042	04	1	1.9	8	2	8	0	1	United Arab Emirates	AE	AE		24	54	AE	1	Qatar	QA	QA		25.5	51.25	QA	1	Saudi Arabia	SA	SA		25	45	SA	20250510000000	https://nbc16.com/news/nation-world/leavitt-touts-trade-deal-relays-trumps-reaction-to-new-pope-addresses-meme-coin-dinner-china-trade-talks-tariffs-tax-cuts-trump-middle-east-trip-white-house-news-briefing
1242902717	20250503	202505	2025	2025.3370	ARE	UNITED ARAB EMIRATES	ARE								QAT	QATAR	QAT								0	042	042	04	1	1.9	4	2	4	0	1	Saudi Arabia	SA	SA		25	45	SA	1	United Arab Emirates	AE	AE		24	54	AE	1	Saudi Arabia	SA	SA		25	45	SA	20250510000000	https://nbc16.com/news/nation-world/leavitt-touts-trade-deal-relays-trumps-reaction-to-new-pope-addresses-meme-coin-dinner-china-trade-talks-tariffs-tax-cuts-trump-middle-east-trip-white-house-news-briefing
1242902718	20250503	202505	2025	2025.3370	ARE	UNITED ARAB EMIRATES	ARE								SAU	SAUDI ARABIA	SAU								0	042	042	04	1	1.9	8	2	8	0	1	United Arab Emirates	AE	AE		24	54	AE	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	20250510000000	https://nbc16.com/news/nation-world/leavitt-touts-trade-deal-relays-trumps-reaction-to-new-pope-addresses-meme-coin-dinner-china-trade-talks-tariffs-tax-cuts-trump-middle-east-trip-white-house-news-briefing
1242902719	20250503	202505	2025	2025.3370	ARE	UNITED ARAB EMIRATES	ARE								SAU	SAUDI ARABIA	SAU								0	042	042	04	1	1.9	4	2	4	0	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	20250510000000	https://nbc16.com/news/nation-world/leavitt-touts-trade-deal-relays-trumps-reaction-to-new-pope-addresses-meme-coin-dinner-china-trade-talks-tariffs-tax-cuts-trump-middle-east-trip-white-house-news-briefing
