1243838482	20240514	202405	2024	2024.3671	CVL	SCIENTIST						CVL			FRA	PARIS	FRA								0	130	130	13	3	-4.4	10	1	10	-1.23076923076923	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20250514180000	https://www.newscientist.com/article/2480207-earth-is-heading-for-a-second-year-above-1-5c-climate-goal/
1243838483	20240514	202405	2024	2024.3671	EUR	EUROPE	EUR								USA	TENNESSEE	USA								0	036	036	03	1	4.0	1	1	1	3.83275261324042	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20250514180000	https://venturebeat.com/business/biocentury-to-host-grand-rounds-in-chicago-where-translational-science-meets-investors-and-dealmakers/
1243838484	20240514	202405	2024	2024.3671	GBR	UNITED KINGDOM	GBR								USA	UNITED STATES	USA								0	036	036	03	1	4.0	1	1	1	3.83275261324042	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20250514180000	https://venturebeat.com/business/biocentury-to-host-grand-rounds-in-chicago-where-translational-science-meets-investors-and-dealmakers/
1243838485	20240514	202405	2024	2024.3671	GBR	UNITED KINGDOM	GBR								USA	UNITED STATES	USA								0	036	036	03	1	4.0	1	1	1	3.83275261324042	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20250514180000	https://venturebeat.com/business/biocentury-to-host-grand-rounds-in-chicago-where-translational-science-meets-investors-and-dealmakers/
1243838486	20240514	202405	2024	2024.3671	GBREDU	UNITED KINGDOM	GBR					EDU			USA	UNITED STATES	USA								0	036	036	03	1	4.0	1	1	1	3.83275261324042	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20250514180000	https://venturebeat.com/business/biocentury-to-host-grand-rounds-in-chicago-where-translational-science-meets-investors-and-dealmakers/
1243838487	20240514	202405	2024	2024.3671	GBREDU	UNITED KINGDOM	GBR					EDU			USA	UNITED STATES	USA								0	036	036	03	1	4.0	1	1	1	3.83275261324042	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Vanderbilt University, Tennessee, United States	US	USTN		36.1481	-86.8031	1304295	20250514180000	https://venturebeat.com/business/biocentury-to-host-grand-rounds-in-chicago-where-translational-science-meets-investors-and-dealmakers/
1243838488	20240514	202405	2024	2024.3671	ISR	ISRAELI	ISR								AREGOV	UNITED ARAB EMIRATES	ARE					GOV			1	1044	104	10	3	-5.0	1	1	1	0.59880239520959	1	United Arab Emirates	AE	AE		24	54	AE	1	United Arab Emirates	AE	AE		24	54	AE	1	United Arab Emirates	AE	AE		24	54	AE	20250514180000	https://www.algemeiner.com/2025/05/14/could-trumps-trip-offer-a-new-hope-for-israeli-arab-alliances-in-the-middle-east/
1243838489	20240514	202405	2024	2024.3671	ISR	ISRAELI	ISR								GOV	PRESIDENT						GOV			1	1044	104	10	3	-5.0	3	1	3	0.59880239520959	4	Jordan River, Israel (general), Israel	IS	IS00	65745	31.7633	35.5575	-780293	4	Jordan River, Israel (general), Israel	IS	IS00	65745	31.7633	35.5575	-780293	4	Jordan River, Israel (general), Israel	IS	IS00	65745	31.7633	35.5575	-780293	20250514180000	https://www.algemeiner.com/2025/05/14/could-trumps-trip-offer-a-new-hope-for-israeli-arab-alliances-in-the-middle-east/
1243838490	20240514	202405	2024	2024.3671	ISR	ISRAELI	ISR								GOV	PRESIDENT						GOV			1	1044	104	10	3	-5.0	2	1	2	0.59880239520959	1	United Arab Emirates	AE	AE		24	54	AE	4	Jordan River, Israel (general), Israel	IS	IS00	65745	31.7633	35.5575	-780293	4	Jordan River, Israel (general), Israel	IS	IS00	65745	31.7633	35.5575	-780293	20250514180000	https://www.algemeiner.com/2025/05/14/could-trumps-trip-offer-a-new-hope-for-israeli-arab-alliances-in-the-middle-east/
1243838491	20240514	202405	2024	2024.3671	USA	TENNESSEE	USA								EUR	EUROPE	EUR								0	036	036	03	1	4.0	1	1	1	3.83275261324042	3	University Of Illinois, Illinois, United States	US	USIL	IL019	40.1086	-88.2284	420156	3	University Of Illinois, Illinois, United States	US	USIL		40.1086	-88.2284	420156	3	University Of Illinois, Illinois, United States	US	USIL		40.1086	-88.2284	420156	20250514180000	https://venturebeat.com/business/biocentury-to-host-grand-rounds-in-chicago-where-translational-science-meets-investors-and-dealmakers/
