1243854711	20240514	202405	2024	2024.3671											NGOHLHIRC	RED CROSS		IRC				NGO	HLH		1	040	040	04	1	1.0	5	1	5	-1.71265461465271	0								0								0								20250514193000	https://www.wmuk.org/wmuk-news/2025-05-14/one-year-later-pavilion-estate-tornado-victims-continue-to-face-hardship
1243854712	20240514	202405	2024	2024.3671	NGOHLHIRC	RED CROSS		IRC				NGO	HLH												1	040	040	04	1	1.0	5	1	5	-1.71265461465271	0								0								0								20250514193000	https://www.wmuk.org/wmuk-news/2025-05-14/one-year-later-pavilion-estate-tornado-victims-continue-to-face-hardship
1243854713	20250414	202504	2025	2025.2849	COP	POLICE OFFICER						COP			GOV	AUTHORITIES						GOV			1	173	173	17	4	-5.0	5	1	5	-12.1019108280255	3	Newark, New Jersey, United States	US	USNJ	NJ013	40.7357	-74.1724	878762	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	3	Newark, New Jersey, United States	US	USNJ	NJ013	40.7357	-74.1724	878762	20250514193000	https://wpst.com/ixp/385/p/more-teen-violence-against-nj-police-officers-in-chaotic-rampage-officials-say/
1243854714	20250414	202504	2025	2025.2849	COP	POLICE OFFICER						COP			GOV	AUTHORITIES						GOV			1	173	173	17	4	-5.0	5	1	5	-12.1019108280255	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20250514193000	https://wpst.com/ixp/385/p/more-teen-violence-against-nj-police-officers-in-chaotic-rampage-officials-say/
1243854715	20250414	202504	2025	2025.2849	NZLJUD	CHRISTCHURCH	NZL					JUD													1	015	015	01	1	0.0	10	1	10	-3.29218106995885	0								0								0								20250514193000	https://www.odt.co.nz/regions/north-otago/company-fined-wetland-herbicide-damage
1243854716	20250414	202504	2025	2025.2849	NZLJUD	CHRISTCHURCH	NZL					JUD													1	128	128	12	3	-5.0	10	1	10	-3.29218106995885	0								0								0								20250514193000	https://www.odt.co.nz/regions/north-otago/company-fined-wetland-herbicide-damage
1243854717	20250507	202505	2025	2025.3479	BUS	AIRLINE						BUS			GBR	GLASGOW	GBR								1	042	042	04	1	1.9	8	1	8	1.18694362017804	4	Prestwick, South Ayrshire, United Kingdom	UK	UKW4	40176	55.4833	-4.61667	-2605746	4	Prestwick, South Ayrshire, United Kingdom	UK	UKW4	40176	55.4833	-4.61667	-2605746	4	Prestwick, South Ayrshire, United Kingdom	UK	UKW4	40176	55.4833	-4.61667	-2605746	20250514193000	https://www.heraldscotland.com/news/25162701.glasgow-airport-write-new-chapter-transatlantic-travel/
1243854718	20250507	202505	2025	2025.3479	GBR	BRITISH	GBR								OPP	THE OPPOSITION						OPP			1	051	051	05	1	3.4	4	1	4	-1.4218009478673	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250514193000	https://www.livemint.com/news/world/keir-starmer-calls-uk-india-fta-deal-fantastic-highlights-labour-govt-s-success-11747242148661.html
1243854719	20250507	202505	2025	2025.3479	GOV	PRESIDENT						GOV													0	193	193	19	4	-10.0	3	1	3	1.08695652173913	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	0								1	United States	US	US		39.828175	-98.5795	US	20250514193000	https://www.lbc.co.uk/world-news/president-zelenskyy-ready-for-any-format-of-peace-negotiations-with-russia-ahead/
1243854720	20250507	202505	2025	2025.3479	GOV	ADMINISTRATION						GOV			CRM	ILLEGAL IMMIGRANT						CRM			1	130	130	13	3	-4.4	10	1	10	-7.74907749077491	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20250514193000	https://www.foxnews.com/politics/house-republicans-mull-consequences-dems-who-stormed-ice-facility
1243854721	20250507	202505	2025	2025.3479	IRL	IRELAND	IRL																		1	018	018	01	1	3.4	8	1	8	-9.17431192660555	4	Longford, Longford, Ireland	EI	EI18	18307	53.7333	-7.8	-1504292	0								4	Longford, Longford, Ireland	EI	EI18	18307	53.7333	-7.8	-1504292	20250514193000	https://www.longfordleader.ie/news/local-news/1801758/rip-book-of-condolence-in-memory-of-garda-kevin-flatley-opens-at-longford-county-council-offices.html
1243854722	20250507	202505	2025	2025.3479	UKR	KYIV	UKR								TUR	TURKEY	TUR								0	193	193	19	4	-10.0	1	1	1	1.08695652173913	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250514193000	https://www.lbc.co.uk/world-news/president-zelenskyy-ready-for-any-format-of-peace-negotiations-with-russia-ahead/
1243854723	20250507	202505	2025	2025.3479	UKR	KYIV	UKR								TUR	TURKEY	TUR								0	193	193	19	4	-10.0	1	1	1	1.08695652173913	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250514193000	https://www.lbc.co.uk/world-news/president-zelenskyy-ready-for-any-format-of-peace-negotiations-with-russia-ahead/
