1241978379	20240506	202405	2024	2024.3452	CAN	OTTAWA	CAN								CVL	CITIZEN						CVL			1	020	020	02	1	3.0	2	1	2	-2.68817204301075	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20250506000000	http://www.bignewsnetwork.com/news/278204974/canada-alberta-premier-says-separation-referendum-possible-in-2026
1241978380	20240506	202405	2024	2024.3452	RUS	RUSSIA	RUS								UKR	UKRAINIAN	UKR								1	070	070	07	2	7.0	1	1	1	-5.30401034928849	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	1	Ukraine	UP	UP		49	32	UP	1	Russia	RS	RS		60	100	RS	20250506000000	https://www.msnbc.com/opinion/analysis/ksenia-karelina-trump-petrova-russia-ice-rcna204894
1241978381	20240506	202405	2024	2024.3452	RUS	RUSSIA	RUS								UKR	UKRAINIAN	UKR								1	070	070	07	2	7.0	1	1	1	-5.30401034928849	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20250506000000	https://www.msnbc.com/opinion/analysis/ksenia-karelina-trump-petrova-russia-ice-rcna204894
1241978382	20240506	202405	2024	2024.3452	RUS	MOSCOW	RUS								UKR	UKRAINE	UKR								0	080	080	08	2	5.0	1	1	1	-1.53061224489796	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20250506000000	https://www.dailymail.co.uk/news/article-14681233/Nigel-Farages-plan-fly-Union-Jack-councils-blow-support-war-torn-Ukraine.html
1241978383	20240506	202405	2024	2024.3452	USA	UNITED STATES	USA																		0	010	010	01	1	0.0	2	1	2	-8.40867992766727	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250506000000	https://www.dailymail.co.uk/news/article-14681087/reason-air-traffic-control-newark-airport-flight-delays.html
1241978384	20240506	202405	2024	2024.3452	USA	UNITED STATES	USA																		0	010	010	01	1	0.0	2	1	2	-8.40867992766727	3	Newark, New Jersey, United States	US	USNJ	NJ013	40.7357	-74.1724	878762	0								3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20250506000000	https://www.dailymail.co.uk/news/article-14681087/reason-air-traffic-control-newark-airport-flight-delays.html
1241978385	20240506	202405	2024	2024.3452	USA	UNITED STATES	USA																		0	010	010	01	1	0.0	2	1	2	-8.40867992766727	3	Newark, New Jersey, United States	US	USNJ	NJ013	40.7357	-74.1724	878762	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250506000000	https://www.dailymail.co.uk/news/article-14681087/reason-air-traffic-control-newark-airport-flight-delays.html
1241978386	20240506	202405	2024	2024.3452	USA	UNITED STATES	USA																		1	042	042	04	1	1.9	1	1	1	3.72340425531915	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	0								4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	20250506000000	https://www.nydailynews.com/2025/05/05/met-gala-2025-adrienne-adams-brad-lander-nyc-politicians/
1241978387	20240506	202405	2024	2024.3452	USAGOV	UNITED STATES	USA					GOV													0	190	190	19	4	-10.0	2	1	2	3.57142857142858	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250506000000	https://www.marketscreener.com/news/latest/Diana-Ross-Simone-Biles-shine-at-Met-Ball-celebration-of-Black-menswear-49831578/
1241978388	20250406	202504	2025	2025.2630	BUS	COMPANY						BUS			LAB	EMPLOYEE						LAB			1	010	010	01	1	0.0	120	12	120	-0.263852242744061	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250506000000	https://wibx950.com/ixp/341/p/ups-eliminating-jobs-closing-buildings/
