1242009951	20240506	202405	2024	2024.3452											NPL	NEPAL	NPL								0	042	042	04	1	1.9	5	1	5	-4.45859872611465	0								4	Butwal, Nepal (general), Nepal	NP	NP00	22364	27.7006	83.4484	-1021804	4	Butwal, Nepal (general), Nepal	NP	NP00	22364	27.7006	83.4484	-1021804	20250506040000	https://kathmandupost.com/province-no-5/2025/05/06/motorboat-smoke-and-noise-are-chasing-away-jagadishpur-lake-birds
1242009952	20240506	202405	2024	2024.3452	BUS	COMPANY						BUS			LAB	STAFF MEMBER						LAB			0	012	012	01	1	-0.4	3	1	3	-2.81065088757397	4	Northland, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.2833	174.75	-1514781	4	Northland, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.2833	174.75	-1514781	4	Northland, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.2833	174.75	-1514781	20250506040000	https://www.nzherald.co.nz/nz/northland-company-ordered-to-remove-unauthorised-bay-of-islands-structures/XNUSGPSR2ZCUBEC66TC74C4YQ4/
1242009953	20240506	202405	2024	2024.3452	CANGOV	CANADA	CAN					GOV			CAN	CANADA	CAN								1	030	030	03	1	4.0	8	1	8	0.72639225181598	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	20250506040000	https://www.breakingnews.ie/world/albertas-leader-open-to-referendum-on-leaving-canada-1759626.html
1242009954	20240506	202405	2024	2024.3452	CANGOV	CANADA	CAN					GOV			CAN	CANADA	CAN								1	030	030	03	1	4.0	2	1	2	0.72639225181598	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20250506040000	https://www.breakingnews.ie/world/albertas-leader-open-to-referendum-on-leaving-canada-1759626.html
1242009955	20240506	202405	2024	2024.3452	NPL	NEPAL	NPL																		0	043	043	04	1	2.8	5	1	5	-4.45859872611465	4	Butwal, Nepal (general), Nepal	NP	NP00	22364	27.7006	83.4484	-1021804	0								4	Butwal, Nepal (general), Nepal	NP	NP00	22364	27.7006	83.4484	-1021804	20250506040000	https://kathmandupost.com/province-no-5/2025/05/06/motorboat-smoke-and-noise-are-chasing-away-jagadishpur-lake-birds
1242009956	20240506	202405	2024	2024.3452	NZL	NEW ZEALAND	NZL								LAB	STAFF MEMBER						LAB			0	012	012	01	1	-0.4	2	1	2	-2.81065088757397	4	Northland, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.2833	174.75	-1514781	4	Bay Of Islands, New Zealand (general), New Zealand	NZ	NZ00	22385	-35.2	174.167	-1511197	4	Bay Of Islands, New Zealand (general), New Zealand	NZ	NZ00	22385	-35.2	174.167	-1511197	20250506040000	https://www.nzherald.co.nz/nz/northland-company-ordered-to-remove-unauthorised-bay-of-islands-structures/XNUSGPSR2ZCUBEC66TC74C4YQ4/
1242009957	20250406	202504	2025	2025.2630	AFR	AFRICA	AFR								JEW	JEWISH				JEW					1	051	051	05	1	3.4	5	1	5	-0.48	4	Dimona, HaDarom, Israel	IS	IS01	18315	31.0667	35.0333	-779575	4	Dimona, HaDarom, Israel	IS	IS01	18315	31.0667	35.0333	-779575	4	Dimona, HaDarom, Israel	IS	IS01	18315	31.0667	35.0333	-779575	20250506040000	https://www.christiancentury.org/news/african-hebrew-israelites-finally-see-legal-victory-against-israel-s-deportation-threats
1242009958	20250406	202504	2025	2025.2630	GOV	ADMINISTRATION						GOV			CHN	CHINESE	CHN								1	014	014	01	1	0.0	7	1	7	-1.87265917602996	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20250506040000	https://www.myjoyonline.com/barbie-maker-warns-of-price-hikes-as-tariffs-increase-costs/
1242009959	20250406	202504	2025	2025.2630	SDN	SUDAN	SDN								GOV	JUSTICE MINISTER						GOV			0	010	010	01	1	0.0	8	1	8	-7.87401574803146	4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	20250506040000	https://dunyanews.tv/en/World/882422-international-court-of-justice-throws-out-sudan-genocide-case-against-
1242009960	20250406	202504	2025	2025.2630	SDN	SUDAN	SDN								SDNGOV	SUDAN	SDN					GOV			0	010	010	01	1	0.0	2	1	2	-7.87401574803146	4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	20250506040000	https://dunyanews.tv/en/World/882422-international-court-of-justice-throws-out-sudan-genocide-case-against-
