1241988430	20240506	202405	2024	2024.3452	BUS	COMPANY						BUS			CHN	CHINA	CHN								0	051	051	05	1	3.4	2	1	2	5.17403574788335	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250506010000	https://markets.financialcontent.com/stocks/article/stockstory-2025-5-5-yum-q1-earnings-call-digital-investments-and-global-expansion-drive-mixed-results
1241988431	20240506	202405	2024	2024.3452	BUSBUS	COMPANY						BUS	BUS												0	036	036	03	1	4.0	10	1	10	3.21100917431193	1	Norway	NO	NO		62	10	NO	0								1	Norway	NO	NO		62	10	NO	20250506010000	https://www.plymouthherald.co.uk/news/plymouth-news/spirit-adventure-meets-plymouth-spirit-10157508
1241988432	20240506	202405	2024	2024.3452	CVL	SETTLEMENT						CVL			GOV	FIREFIGHTER						GOV			1	030	030	03	1	4.0	10	1	10	-6.73400673400674	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20250506010000	https://www.1011now.com/2025/05/05/former-lincoln-firefighter-again-sues-city-fighting-denied-disability-pension/
1241988433	20240506	202405	2024	2024.3452	GOV	FIREFIGHTER						GOV			CVL	SETTLEMENT						CVL			1	030	030	03	1	4.0	10	1	10	-6.73400673400674	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20250506010000	https://www.1011now.com/2025/05/05/former-lincoln-firefighter-again-sues-city-fighting-denied-disability-pension/
1241988434	20240506	202405	2024	2024.3452	ISR	ISRAEL	ISR								JEW	JUDAISM				JEW					0	010	010	01	1	0.0	2	1	2	2.94784580498866	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20250506010000	https://www.yahoo.com/news/providence-mayor-joining-ri-group-215322512.html
1241988435	20240506	202405	2024	2024.3452	ISR	ISRAEL	ISR								JEW	JUDAISM				JEW					0	010	010	01	1	0.0	2	1	2	2.94784580498866	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	20250506010000	https://www.yahoo.com/news/providence-mayor-joining-ri-group-215322512.html
1241988436	20240506	202405	2024	2024.3452	JPN	JAPAN	JPN																		1	010	010	01	1	0.0	4	1	4	-0.66225165562914	1	Japan	JA	JA		36	138	JA	0								1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20250506010000	https://wcsx.com/2025/05/05/reminiscing-the-beatles-packed-shea-stadium-with-55000-screaming-fans/
1241988437	20240506	202405	2024	2024.3452	JPN	JAPAN	JPN																		1	010	010	01	1	0.0	4	1	4	-0.69686411149826	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	0								1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20250506010000	https://sunny1063.com/2025/05/05/reminiscing-the-beatles-packed-shea-stadium-with-55000-screaming-fans/
1241988438	20240506	202405	2024	2024.3452	LEG	LAWMAKER						LEG			CVL	RESIDENTS						CVL			0	114	114	11	3	-2.0	5	1	5	-3.10262529832936	0								0								0								20250506010000	https://bethesdamagazine.com/2025/05/05/agenda-insights-budget-deliberation/
1241988439	20250406	202504	2025	2025.2630											USA	DALLAS	USA								1	040	040	04	1	1.0	8	1	8	3.6144578313253	0								3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20250506010000	https://www.brnow.org/news/sbc-entities-to-host-enriching-encouraging-events-in-dallas/
