1242005425	20240506	202405	2024	2024.3452											idg	INDIGENOUS			idg						1	043	043	04	1	2.8	6	1	6	6.77570093457944	0								4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20250506031500	https://www.watoday.com.au/national/queensland/affordable-art-fair-returns-to-brisbane-after-a-sellout-first-year-20250427-p5lujv.html
1242005426	20240506	202405	2024	2024.3452	AUS	AUSTRALIA	AUS								idg	INDIGENOUS			idg						1	043	043	04	1	2.8	4	1	4	6.77570093457944	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20250506031500	https://www.watoday.com.au/national/queensland/affordable-art-fair-returns-to-brisbane-after-a-sellout-first-year-20250427-p5lujv.html
1242005427	20240506	202405	2024	2024.3452	EDU	SCHOOL						EDU													0	180	180	18	4	-9.0	9	1	9	-4.92610837438424	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20250506031500	https://www.hindustantimes.com/cities/mumbai-news/akshay-shinde-encounter-killing-sc-orders-dgp-to-constitute-sit-supervise-probe-101746472127230.html
1242005428	20240506	202405	2024	2024.3452	JUD	PROSECUTOR						JUD			BUS	BUSINESS						BUS			1	171	171	17	4	-9.2	10	1	10	-12.5	0								0								0								20250506031500	https://bulawayo24.com/news/national/252530
1242005429	20240506	202405	2024	2024.3452	PHL	PHILIPPINE	PHL								NGOHRI	REPORTERS SANS FRONTIERES						NGO	HRI		1	090	090	09	2	-2.0	10	1	10	-2.08333333333333	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20250506031500	https://visayandailystar.com/continuing-improvement/
1242005430	20240506	202405	2024	2024.3452	idg	INDIGENOUS			idg																1	042	042	04	1	1.9	6	1	6	6.77570093457944	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	0								4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20250506031500	https://www.watoday.com.au/national/queensland/affordable-art-fair-returns-to-brisbane-after-a-sellout-first-year-20250427-p5lujv.html
1242005431	20240506	202405	2024	2024.3452	idg	INDIGENOUS			idg						AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	4	1	4	6.77570093457944	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20250506031500	https://www.watoday.com.au/national/queensland/affordable-art-fair-returns-to-brisbane-after-a-sellout-first-year-20250427-p5lujv.html
1242005432	20250406	202504	2025	2025.2630											MED	LOCAL MEDIA						MED			0	036	036	03	1	4.0	10	1	10	3.60576923076923	0								3	Mare Island, California, United States	US	USCA		38.0955	-122.272	228080	3	Mare Island, California, United States	US	USCA		38.0955	-122.272	228080	20250506031500	https://www.thereporter.com/2025/05/05/california-forever-celebrates-april-achievements/
1242005433	20250406	202504	2025	2025.2630	PAK	PAKISTAN	PAK																		0	111	111	11	3	-2.0	4	1	4	-5.09031198686371	4	Chenab River, Pakistan (general), Pakistan	PK	PK00	23670	29.3481	71.0203	-3414606	0								4	Chenab River, Pakistan (general), Pakistan	PK	PK00	23670	29.3481	71.0203	-3414606	20250506031500	https://www.deccanchronicle.com/world/neighbours/irans-top-diplomat-in-pakistan-to-mediate-in-escalation-with-india-1877190
1242005434	20250429	202504	2025	2025.3260	ISR	ISRAEL	ISR								MED	LOCAL MEDIA						MED			0	036	036	03	1	4.0	8	1	8	-4.89795918367347	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250506031500	https://www.jagonews24.com/en/international/news/82456
