1244148630	20240516	202405	2024	2024.3726											GBR	WELSH	GBR								1	036	036	03	1	4.0	8	1	8	1.46198830409356	0								4	Llangollen, Denbighshire, United Kingdom	UK	UKX9	40179	52.9667	-3.25	-2601611	4	Llangollen, Denbighshire, United Kingdom	UK	UKX9	40179	52.9667	-3.25	-2601611	20250516013000	https://www.kentonline.co.uk/news/national/welsh-tories-in-vow-to-introduce-winter-fuel-payment-if-elected-146567/
1244148631	20240516	202405	2024	2024.3726											GBR	UNITED KINGDOM	GBR								1	040	040	04	1	1.0	4	1	4	1.46198830409356	0								4	Llangollen, Denbighshire, United Kingdom	UK	UKX9	40179	52.9667	-3.25	-2601611	4	Llangollen, Denbighshire, United Kingdom	UK	UKX9	40179	52.9667	-3.25	-2601611	20250516013000	https://www.kentonline.co.uk/news/national/welsh-tories-in-vow-to-introduce-winter-fuel-payment-if-elected-146567/
1244148632	20240516	202405	2024	2024.3726	DEU	GERMAN	DEU								BUS	COMPANY						BUS			1	192	192	19	4	-9.5	8	1	8	0.82872928176796	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20250516013000	https://www.krtv.com/lewistown-works-to-prepare-for-growth
1244148633	20240516	202405	2024	2024.3726	GBR	WELSH	GBR																		1	036	036	03	1	4.0	8	1	8	1.46198830409356	4	Llangollen, Denbighshire, United Kingdom	UK	UKX9	40179	52.9667	-3.25	-2601611	0								4	Llangollen, Denbighshire, United Kingdom	UK	UKX9	40179	52.9667	-3.25	-2601611	20250516013000	https://www.kentonline.co.uk/news/national/welsh-tories-in-vow-to-introduce-winter-fuel-payment-if-elected-146567/
1244148634	20240516	202405	2024	2024.3726	GBR	UNITED KINGDOM	GBR																		1	040	040	04	1	1.0	2	1	2	1.46198830409356	4	Llangollen, Denbighshire, United Kingdom	UK	UKX9	40179	52.9667	-3.25	-2601611	0								4	Llangollen, Denbighshire, United Kingdom	UK	UKX9	40179	52.9667	-3.25	-2601611	20250516013000	https://www.kentonline.co.uk/news/national/welsh-tories-in-vow-to-introduce-winter-fuel-payment-if-elected-146567/
1244148635	20240516	202405	2024	2024.3726	HLH	CAREGIVER						HLH			USA	OHIO	USA								1	112	112	11	3	-2.0	10	1	10	-6.26450116009281	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250516013000	https://myfox28columbus.com/news/local/toddler-jahsani-columbus-ohio-hospitalized-severe-injuries-nathan-bridges-charged-child-endangerment
1244148636	20250416	202504	2025	2025.2904											GOV	FINANCE MINIST						GOV			0	043	043	04	1	2.8	20	2	20	-0.89463220675944	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20250516013000	https://www.prpeak.com/national-news/the-government-could-function-without-a-budget-but-will-need-a-spending-bill-10665462
1244148637	20250416	202504	2025	2025.2904	GOV	FINANCE MINIST						GOV													0	042	042	04	1	1.9	20	2	20	-0.89463220675944	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20250516013000	https://www.prpeak.com/national-news/the-government-could-function-without-a-budget-but-will-need-a-spending-bill-10665462
1244148638	20250416	202504	2025	2025.2904	GOV	PRIME MINISTER						GOV			THA	THAILAND	THA								1	042	042	04	1	1.9	6	1	6	3.20855614973262	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20250516013000	https://www.dailyexcelsior.com/buddhas-principle-of-middle-remains-more-relevant-than-ever-india-at-un/
1244148639	20250416	202504	2025	2025.2904	LEG	LAWMAKER						LEG													1	030	030	03	1	4.0	2	1	2	1.49750415973377	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	0								3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	20250516013000	https://jg-tc.com/news/state-regional/government-politics/article_f3ea0f7e-e390-5b6b-892f-ed3b29e7f221.html
