1242027252	20240506	202405	2024	2024.3452	DNK	DENMARK	DNK																		1	020	020	02	1	3.0	2	1	2	5.47550432276657	1	Norway	NO	NO		62	10	NO	0								1	Norway	NO	NO		62	10	NO	20250506064500	https://www.traveldailynews.com/people/new-appointments/new-executive-roles-unveiled-amid-strategic-restructuring-at-core-hospitality/
1242027253	20250406	202504	2025	2025.2630	AUS	AUSTRALIA	AUS								CVL	COMMUNITY						CVL			0	010	010	01	1	0.0	2	1	2	-11.3673805601318	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20250506064500	https://www.standard.net.au/story/8959806/court-hears-young-mans-role-in-frenzied-warrnambool-attack/
1242027254	20250406	202504	2025	2025.2630	AUS	AUSTRALIA	AUS								CVL	COMMUNITY						CVL			0	010	010	01	1	0.0	2	1	2	-11.3673805601318	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Warrnambool, Victoria, Australia	AS	AS07	5423	-38.3818	142.488	-1608145	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20250506064500	https://www.standard.net.au/story/8959806/court-hears-young-mans-role-in-frenzied-warrnambool-attack/
1242027255	20250406	202504	2025	2025.2630	ITA	ITALY	ITA								CVL	CIVILIAN						CVL			0	190	190	19	4	-10.0	1	1	1	-1.09170305676856	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250506064500	https://www.yahoo.com/news/polish-president-calls-trump-force-032748848.html
1242027256	20250406	202504	2025	2025.2630	ITA	ITALY	ITA								CVL	CIVILIAN						CVL			0	190	190	19	4	-10.0	1	1	1	-1.09170305676856	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250506064500	https://www.yahoo.com/news/polish-president-calls-trump-force-032748848.html
1242027257	20250406	202504	2025	2025.2630	ITA	ITALY	ITA								DEU	GERMAN	DEU								1	111	111	11	3	-2.0	2	1	2	3.17892824704814	4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	20250506064500	https://www.creativeboom.com/inspiration/photographer-alixe-lay-on-using-smartphones-to-capture-a-spirit-of-place/
1242027258	20250406	202504	2025	2025.2630	ITA	ITALY	ITA								RUS	RUSSIA	RUS								0	111	111	11	3	-2.0	1	1	1	-1.09170305676856	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250506064500	https://www.yahoo.com/news/polish-president-calls-trump-force-032748848.html
1242027259	20250406	202504	2025	2025.2630	ITA	ITALY	ITA								RUS	RUSSIA	RUS								0	111	111	11	3	-2.0	1	1	1	-1.09170305676856	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250506064500	https://www.yahoo.com/news/polish-president-calls-trump-force-032748848.html
1242027260	20250406	202504	2025	2025.2630	ITA	ITALY	ITA								UKR	UKRAINIAN	UKR								0	040	040	04	1	1.0	1	1	1	-1.09170305676856	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20250506064500	https://www.yahoo.com/news/polish-president-calls-trump-force-032748848.html
1242027261	20250406	202504	2025	2025.2630	ITA	ITALY	ITA								UKR	UKRAINIAN	UKR								0	040	040	04	1	1.0	1	1	1	-1.09170305676856	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20250506064500	https://www.yahoo.com/news/polish-president-calls-trump-force-032748848.html
